Lemma,Soort,Standaard,Aangetroffen,URI
aspot,voorwerp,aspot,aschpot,https://data.goldenagents.org/boedellexicon/voorwerp/aspot
aspot,voorwerp,aspotten,aschpotten,https://data.goldenagents.org/boedellexicon/voorwerp/aspot
asschep,voorwerp,asschep,asschep,https://data.goldenagents.org/boedellexicon/voorwerp/asschep
asschep,voorwerp,asschep,asschop,https://data.goldenagents.org/boedellexicon/voorwerp/asschep
asschep,voorwerp,asscheppen,asschoppen,https://data.goldenagents.org/boedellexicon/voorwerp/asschep
atlas,stofnaam,atlas,,https://data.goldenagents.org/boedellexicon/stofnaam/atlas
atlas,stofnaam,atlassen,atlassen,https://data.goldenagents.org/boedellexicon/stofnaam/atlas
atlas,voorwerp,atlas,atlas,https://data.goldenagents.org/boedellexicon/voorwerp/atlas
atlas,voorwerp,atlas,attlas,https://data.goldenagents.org/boedellexicon/voorwerp/atlas
atlas,voorwerp,atlassen,,https://data.goldenagents.org/boedellexicon/voorwerp/atlas
avegaar,voorwerp,avegaar,,https://data.goldenagents.org/boedellexicon/voorwerp/avegaar
avegaar,voorwerp,avegaars,avegaers,https://data.goldenagents.org/boedellexicon/voorwerp/avegaar
Avondmaal,eigennaam,Avondmaal,Avontmael,https://data.goldenagents.org/boedellexicon/eigennaam/Avondmaal
baar,voorwerp,baar,baar,https://data.goldenagents.org/boedellexicon/voorwerp/baar
baar,voorwerp,baren,,https://data.goldenagents.org/boedellexicon/voorwerp/baar
Babel,eigennaam,Babel,Babel,https://data.goldenagents.org/boedellexicon/eigennaam/Babel
Bachus,eigennaam,Bachus,Bachus,https://data.goldenagents.org/boedellexicon/eigennaam/Bachus
Bachusfeest,voorstelling,Bachusfeest,Bachusfeest,https://data.goldenagents.org/boedellexicon/voorstelling/Bachusfeest
bak,voorwerp,bak,back,https://data.goldenagents.org/boedellexicon/voorwerp/bak
bak,voorwerp,bak,bak,https://data.goldenagents.org/boedellexicon/voorwerp/bak
bak,voorwerp,bakje,backje,https://data.goldenagents.org/boedellexicon/voorwerp/bak
bak,voorwerp,bakjes,backjes,https://data.goldenagents.org/boedellexicon/voorwerp/bak
