object,object_en
Douck,Cloth
Draaijsteen,
Draeghbanden,Carrying straps
Draeghbant,Carrying strap
Draeghberre,
Dreckwagens,
Drevelhamers,
dreveltjens,
Drielingh,
Drielinghschotels,
Driepoten,
Drijffhamers,
Drijlingen,
Drijlingh,
Drillen,
Droogeldoecken,
Drooghdoecken,
Drooplepel,
Druckpars,
Drukbak,
Ducaaten,Ducates
Ducaten,Ducates
Ducaton,Ducate
Duijt,
Duijten,
Duit,
Dukaet,
Dukantons,
Dukaten,
Dukaton,
dundoeck,
Eenhoornskussens,
eetenskasje,
effigies,
Eijcklepeltjens,
Eijerbortje,
Eijerlepeltje,
Eijerpannetje,
Eijerrackje,
Elisabeth,
Elisabetten,
Emmers,Buckets
Emmertje,
Engelsbeeldekens,
Ertkan,
Erttkan,
Erve,
erven,
essentjes,
evangelistbortjes,
Eyermantien,
Feijteltjens,
Festoon,
Figuer,
Figuren,
Fiston,
Flepjens,
Fleppen,
Fles,Bottle
Flesch,Bottle
Fleschjens,Small bottles
Flesjen,Small bottle
Flesjens,Small bottles
Flesschen,Bottles
flesse,Bottles
Flessen,Bottles
Flessjens,Small bottles
florette,
floretten,
Fluijten,
fonteijntie,
Fontenelplaetje,
Formen,
forquetstock,
forquetstocken,
Fruijtage,Painting of fruit
Fruijtagie,Painting of fruit
Fruijtagien,Paintings of fruit
fruijtasjes,Paintings of fruit
Fruijtatsie,Painting of fruit
fruijtbackje,
Fruijtmant,
Fruijtmantje,
Fruijtschael,
Fruijtschalen,
fruitagie ,Painting of fruit
Fruitmandt,
Frutage,Painting of fruit
frutagie,Painting of fruit
Fruytage,Painting of fruit
Fruytageschilderij,Painting of fruit
Fruytagie,Painting of fruit
fruytien,
Fruytmantiens,
Fruytmantje,
Fruytschael,
fruytschoteltge,
Fruyttage,Painting of fruit
Fruyttagie,Painting of fruit
Gaffel,
galanterie,
gansenoogh,
Gardijen,Curtains
gardijnen,Curtains
Gardijnsroeijen,
Gardijntjens,
Garen,
gebeedeboeckjens,
Gelt,
Geltkist,
Gereetschap,Tool
Gereetschappen,Tools
gerffschaeffjens,
gerffscharen,
Geschut,
geselschapgens,
geselschapien,
Geselschapje,
geselschapjes,
geselschappjen,
Gesp,
Gespen,
Gevest,
gewichijen,
gewicht,Weight
Gietvlessen,
Gissen,
Glaasen,
glaasjens,
glaesen,
Glaesje,
Glaesjens,
Glas,Glass
glasbortjes ,
Glasen,
Glasgardijnen,
Glasgordijnen,
glasgordijnties,
glasgordijntjes,
glasguardijntjes,
Glasien,
Glasiens,
Glaswerk,
goederen,
Goet,
Gordijen,
Gordijn,Curtain
Gordijnen,Curtains
gordijnnen,Curtains
Gorgelet,
Goudgewicht,
Gout,Gold
Goutguldens,Golden guilders
goutsmitgereetschap,
graeutje,
graeutjen,
Graff,Grave
grautien,
Guardijnen,
gulden,Guilder
Guldens,Guilders
haackijens,
Haak,Hooks
Haaken,Hooks
haart,
Haartijser,
haartsetjen,
Hackmes,
hackmessen,
Haeck,
Haertijser,
Haertplaetje,
Haertschutje,
hairnaelt,
Halfmutsje,
Halsdoeck,
Halsdoecken,
Halskussentje,
Halsneusdoecken,
Halssgen,
halvemanen,
Hamers,Hammers
Hammetje,Small hammer
Hamshembden,
Handblaecker,
