Standaard,Aangetroffen
brandhout,Brandthout
brandzakken,Brandtsacken
brand,Brant
brandijzer,Brantijser
brandje,Brantje
brandjes,Brantjes
brandzakken,Brantsacken
brandzakken,Brantsakken
brandschilderijtje,brantschilderijtje 
braceletten,Brasaletten
bracelet,Braselett
braceletten,Brasetten
brillen,Brillen
broekknopen,Broeckknoopen
broeder,broeder
broeivat,Broeijvat
broek,Broek
broeken,Broeken
brood,Brood
broodmandje,Broodemantgen
broodmandje,Broodtmantie
brood,Broot
broodbakken,Brootbacken
beugel,Buegel
beugelstokken,buegelstocken
buffet,Buffet
buikkussens,Buickkussens
bundels,Bundels
bundeltjes,Bundeltjens
bureau,Bureau
berrie,Burrij
busjes,Bussjens
kaart,Caart
kaarten,Caarten
kabas,Cabas
kabasfles,cabasfles
kabinetje,Cabinetje
Cadmus,Cadmus
kaart,Caert
kaartje,Caertge
kaartjes,Caertiens
kalamink,calemink
kalaminken,calleminke
kamelenkoppen,Cameelskoppen
kamelot,Camelot
Kamerijks,Camericx
kamizool,Camizool
kamizolen,Camizoolen
kanon,Canan
kanariekooi,Canariekouw
kandelaars,Candelaers
kandelaartje,Candelaertien
canvas,Canifas
kannen,Cannen
kannetje,cannetjen
kant,cant
kantjes,cantjes
kantoorkleed,Cantoorkleet
kantoortafel,Cantoortafel
kaper,caper
kapers,Capers
kapje,capijen
kapitalen,Capitalen
kapittelstokje,capittelstokje
kapstok,Capstock
karaat,caraat
,careant
carolienen,Carolijnen
carolussen,Carolussen
karpetdeken,Carpetdeecken
cassette,casjet
kas,Casse
kast,cast
kasteeltje,Casteeltje
kastje,Castgen
kastje,castjen
catechismus,Catechismus
katoen,catoen
katoen,Cattoun
,Cauwen
Ceasar,Cesar
charge,Charge
sjerp,Charp
chauffoir,Chaufoir
Ceres,Cheres
kristal,christal
van Christus,Christi
van Christus,Christij
Christus,Christus
Christustronie,Christustroni
Christustronie,Christustronie
van Christus,Christy
Cicero,Cicero
clavecimbel,Clave cimbel
chineesjes,Cineestjes
ceintuur,cintuur
ceintuurgesp,cintuurgesp
sitsen,Citze
klabbeken,clabbeeckijes
klabbeken,cladbeecktjes
klabbeek,cladbeeck
klabbeek,gladbeck
klabbeek,gladbeeck
klapmuts,clapmuts
klapmutsen,Clapmutsen
klapmutsjes,Clapmutsjens
klapmutsjes,clapmutsjes
klapmutsjes,clapmuttzjes
klapmuts,clapmutz
clavecimbel,Clavecimbel
clavecimbel,Clavesimbael
clavecimbel,Clavesimbel
kleren,clederen
kleren,clederens
kledingmanden,Cleermanden
