ontfangen	54687		54687	0.000732239	ngram	1	0.000756637
vier	52110		52110	0.000697734	ngram	1	0.000720983
dato	51702		51702	0.000692271	ngram	1	0.000715338
Amsteldam	51690		51690	0.000692111	ngram	1	0.000715172
3	51671		51671	0.000691856	ngram	1	0.000714909
Twee	51357		51357	0.000687652	ngram	1	0.000710564
6	51305		51305	0.000686955	ngram	1	0.000709845
wesen	51030		51030	0.000683273	ngram	1	0.00070604
Compte	50941		50941	0.000682082	ngram	1	0.000704809
omme	50314		50314	0.000673686	ngram	1	0.000696134
ses	49946		49946	0.000668759	ngram	1	0.000691042
inde	49699		49699	0.000665452	ngram	1	0.000687625
8	49619		49619	0.000664381	ngram	1	0.000686518
N.P.	49615		49615	0.000664327	ngram	1	0.000686462
Heeren	49517		49517	0.000663015	ngram	1	0.000685106
gul	49467		49467	0.000662345	ngram	1	0.000684415
Dirck	49174		49174	0.000658422	ngram	1	0.000680361
dito	49111		49111	0.000657579	ngram	1	0.000679489
attestor	49080		49080	0.000657164	ngram	1	0.00067906
Ao	48310		48310	0.000646854	ngram	1	0.000668407
In	48238		48238	0.000645889	ngram	1	0.000667411
mits	48178		48178	0.000645086	ngram	1	0.00066658
gemelte	48008		48008	0.00064281	ngram	1	0.000664228
;	47910		47910	0.000641498	ngram	1	0.000662872
D	47650		47650	0.000638016	ngram	1	0.000659275
4	47530		47530	0.00063641	ngram	1	0.000657615
Jansz	47501		47501	0.000636021	ngram	1	0.000657214
versocht	47494		47494	0.000635928	ngram	1	0.000657117
En	47087		47087	0.000630478	ngram	1	0.000651486
zal	46668		46668	0.000624868	ngram	1	0.000645688
geene	46318		46318	0.000620181	ngram	1	0.000640846
rogatus	46312		46312	0.000620101	ngram	1	0.000640763
Sr.	46221		46221	0.000618883	ngram	1	0.000639504
5	46162		46162	0.000618093	ngram	1	0.000638687
Willem	45671		45671	0.000611518	ngram	1	0.000631894
gepasseert	45558		45558	0.000610005	ngram	1	0.000630331
Heel	45316		45316	0.000606765	ngram	1	0.000626982
@	44779		44779	0.000599575	ngram	1	0.000619553
sijne	44648		44648	0.000597821	ngram	1	0.00061774
o	43709		43709	0.000585248	ngram	1	0.000604748
(	43596		43596	0.000583735	ngram	1	0.000603185
dan	43578		43578	0.000583494	ngram	1	0.000602936
oprecht	43565		43565	0.00058332	ngram	1	0.000602756
Comparant	43555		43555	0.000583186	ngram	1	0.000602618
ao	43474		43474	0.000582101	ngram	1	0.000601497
